case_id,eye_id,mode,wavelength_nm,source_demand_D,source_distance_mm,effective_focal_length_mm,axial_length_mm,image_index,reduced_retina_distance_mm,target_diameter_mm,pupil_diameter_mm,external_lens_power_D,external_lens_vertex_distance_mm,conservative_source_diameter_mm,source_mapping_coefficient,pupil_mapping_coefficient,input_sha256
chickm30m45d_baseline_f8p5_a11p7_p2p5_d60_x0_ef77b99ba1,chick_30_45d,baseline,650,60,16.666666666666668,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,8.0652756829227421,-0.52544910179640714,0.4951567453328638,ef77b99ba119c1cba97eea34c3ddfa618e803daa219d00085d5ee71cfbae1642
chickm30m45d_baseline_f8p5_a11p7_p2p5_d70_x0_17145fe6f0,chick_30_45d,baseline,650,70,14.285714285714286,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,7.2702362996480652,-0.61302395209580829,0.58273159563226495,17145fe6f0fc48564b7261ffe112daa667b8f087246423182cbf1972877bdc4d
chickm30m45d_baseline_f8p5_a11p7_p2p5_d80_x0_5a82646b2c,chick_30_45d,baseline,650,80,12.5,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,6.6739567621920566,-0.70059880239520944,0.67030644593166611,5a82646b2cc080bb09ac0397764dbeca0efbb144cb264503057e028bfe07ecfb
chickm30m45d_baseline_f8p5_a11p7_p2p5_d90_x0_f2813b50b3,chick_30_45d,baseline,650,90,11.111111111111111,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,6.2101837886151623,-0.7881736526946107,0.75788129623106737,f2813b50b3b35dd5b5e6792bfe0ebfff6cb18bea1592be404fe57dcc76a24530
chickm30m45d_baseline_f8p5_a11p7_p2p5_d100_x0_80d5764542,chick_30_45d,baseline,650,100,10,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.8391654097536474,-0.87574850299401175,0.84545614653046841,80d57645420ff1723930b0e2d896f31b9dbf2e87c207334cdc3e6b305e65b1c4
chickm30m45d_baseline_f8p5_a11p7_p2p5_d110_x0_b3cf0272d1,chick_30_45d,baseline,650,110,9.0909090909090917,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.5356049179578593,-0.96332335329341312,0.93303099682986979,b3cf0272d10c7daf8edb4e81c7fe18ce70e00825ff756d6e261ed4a051fd19d9
chickm30m45d_baseline_f8p5_a11p7_p2p5_d120_x0_7c850a9160,chick_30_45d,baseline,650,120,8.3333333333333339,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.2826378414613719,-1.0508982035928143,1.0206058471292709,7c850a9160dce3d0a3f94e2bfe4947186c8d54bb31bc6b6deac1bf814bfa2831
chickm30m45d_baseline_f8p5_a11p7_p3_d60_x0_ade7a887e1,chick_30_45d,baseline,650,60,16.666666666666668,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,8.5364504776269499,-0.52544910179640714,0.4951567453328638,ade7a887e137c1582eef987fb6783f92314fd5c1d4608de8bd81141cc2b81596
chickm30m45d_baseline_f8p5_a11p7_p3_d70_x0_59fc0acab0,chick_30_45d,baseline,650,70,14.285714285714286,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,7.7455289808231003,-0.61302395209580829,0.58273159563226495,59fc0acab0a01c6824678f9c76d6d4366d1d3dd63fe74e4dc40735e20e2da03e
chickm30m45d_baseline_f8p5_a11p7_p3_d80_x0_14cabd4d9f,chick_30_45d,baseline,650,80,12.5,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,7.1523378582202124,-0.70059880239520944,0.67030644593166611,14cabd4d9f62fe3a4414e9fff599294b9c792faf028dc5a55a81e0d7a26efa05
chickm30m45d_baseline_f8p5_a11p7_p3_d90_x0_ff1e30342b,chick_30_45d,baseline,650,90,11.111111111111111,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.6909669850846329,-0.7881736526946107,0.75788129623106737,ff1e30342b55554ba09bda9d570fb2f98f2361491a4cc3a2d7a086506f609fe4
chickm30m45d_baseline_f8p5_a11p7_p3_d100_x0_15907717ba,chick_30_45d,baseline,650,100,10,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.3218702865761705,-0.87574850299401175,0.84545614653046841,15907717bab6263e4f7057a878facd912433eaa93fc632752e597a6af77310c2
chickm30m45d_baseline_f8p5_a11p7_p3_d110_x0_b6f5b1b04b,chick_30_45d,baseline,650,110,9.0909090909090917,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.0198820787056091,-0.96332335329341312,0.93303099682986979,b6f5b1b04b0b75385d4dbd2998a934ea26901decfb8decd0a2e2ce7548a0d19a
