case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
childm6y_baseline_f15p1_a23_p2_d120_x0_2f411ffe79,2f411ffe797aa3666a143594acdbb8b7643c09aadea64d0ff1dd66d0bbdd17ba,-6.8322710869651431,6.8322710869651431,4,0.00001
childm6y_baseline_f15p1_a23_p3_d60_x0_d4ffc18703,d4ffc187033793a6e7dce696d68f38b54c333b8cf41dee1dc0cf55561fc5b840,-5.6650982472141802,5.6650982472141802,4,0.00001
childm6y_baseline_f15p1_a23_p3_d70_x0_c369b71c4f,c369b71c4fd8060e84f8208e8ec1113ad4dfc86742434b249bcd2426ddbe89d5,-6.1789829777531029,6.1789829777531029,4,0.00001
childm6y_baseline_f15p1_a23_p3_d80_x0_17ebf0f16a,17ebf0f16ab99ade4e28ce37c2f8bce37bc9636494df0bb56bb631e1d81ab59e,-6.6928677082920238,6.6928677082920238,4,0.00001
childm6y_baseline_f15p1_a23_p3_d90_x0_22ebe5c609,22ebe5c609142cf40c87dd3d7d690e0619bd3e93a2e36fa902faf6d886544bf3,-7.2067524388309465,7.2067524388309465,4,0.00001
childm6y_baseline_f15p1_a23_p3_d100_x0_550a12b2d3,550a12b2d3da5337de95b0e4b5137649eaa120a6df3faedb0a0e92ab451ab3b3,-7.7206371693698692,7.7206371693698692,4,0.00001
childm6y_baseline_f15p1_a23_p3_d110_x0_bafb2d6b0b,bafb2d6b0bb08036762b9edd3e47fcc1d4ed59c054565d2793e41c4438cceebb,-8.2345218999087919,8.2345218999087919,4,0.00001
childm6y_baseline_f15p1_a23_p3_d120_x0_31d91d3631,31d91d36318c6c44bea6257e69214e1bd6f3d83f21fdd2383feef0bd3b6a54dd,-8.7484066304477146,8.7484066304477146,4,0.00001
childm6y_baseline_f15p1_a23_p4_d60_x0_33be4c1553,33be4c15537d87ffc9aa812fe49b52fb6568e13803c521a353ae3f2c1bbf02f4,-6.5534643296189072,6.5534643296189072,4,0.00001
childm6y_baseline_f15p1_a23_p4_d70_x0_92b396cb9d,92b396cb9d8b6da32c121520dbb62ff515f106d33e2ac59402b10392431c62ad,-7.2386439703374705,7.2386439703374705,4,0.00001
childm6y_baseline_f15p1_a23_p4_d80_x0_4ec35f5db1,4ec35f5db1cb7564cd7afa50190bfc218abe1220efc1c1a8289f9b2709f8ae5d,-7.9238236110560329,7.9238236110560329,4,0.00001
